X,Y,Z,ID,x,y,osm_id,code,fclass,name
91790.8376428349,435487.202538529,0,104,4.4686956,51.9042956,1604072208,2724,memorial,Baden Powell
92876.4134314316,436915.784257596,0,105,4.4842106,51.917257,2610200942,2084,college,"Hogeschool Rotterdam, Wijnhaven"
90749.3218478193,436317.558664426,0,106,4.453408,51.911639,1610602650,2501,supermarket,DAS
90720.112710908,436293.677537386,0,107,4.452988,51.911421,1610604361,2501,supermarket,Narain
90295.1671044414,436303.385701038,0,108,4.446811,51.911459,1610625705,2084,college,G.K. van Hogendorp
92555.2423484098,436918.004516828,0,109,4.4795424,51.917241,2610220520,2011,embassy,
91933.1557358981,436931.720310198,0,110,4.4704987,51.9172941,2610249354,2013,nursing_home,Verpleeghuis Antonius Binnenweg
92556.9555096076,435891.829058116,0,111,4.4797535,51.9080186,1611090339,2723,monument,Calandmonument
91828.9125701892,436523.025165906,0,112,4.4690587,51.9136092,2610255791,2082,school,
91770.435458132,437104.093142799,0,113,4.4681021,51.9188248,2610269238,2120,doctors,Gezondheidscentrum West
90749.5227427805,435292.220066952,0,114,4.4536023,51.902424,2096579567,2201,theatre,Fighter (Intorno)
91804.0458676429,436611.374486808,0,115,4.4686811,51.9144004,4133045791,2251,sports_centre,tennispark het centrum
91351.9330960806,438019.153811967,0,116,4.4618502,51.927001,2105447710,2501,supermarket,Albert Heijn
92588.1504960679,439481.348727431,0,117,4.4795554,51.9402823,3517208617,2501,supermarket,Lidl
89460.679948073,436567.599864192,0,118,4.4346342,51.9137359,4455503590,2120,doctors,Huisartsen Mathenesse
91713.0755673213,436596.991948801,0,119,4.4673617,51.9142608,4455511787,2082,school,Albeda college
91789.6963481743,438665.196390619,0,120,4.4680951,51.9328571,1042881588,2722,museum,Houweling Telecom Museum
89317.7283276476,438082.042621491,0,121,4.4322676,51.9273297,2146477612,2251,sports_centre,H.W.D
89621.1078215157,436812.861313562,0,122,4.436919,51.915959,2153312559,2501,supermarket,Lidl
89948.2428089412,436429.335913517,0,123,4.4417458,51.9125505,2157568408,2012,community_centre,Pier 80
92536.5277163505,436524.74031118,0,124,4.4793418,51.9137045,4465312683,2083,kindergarten,Bimbola
92372.9249264291,436416.709414891,0,125,4.4769839,51.9127152,4465313457,2083,kindergarten,Het Steigertje
92439.0885408013,436385.37170214,0,126,4.4779511,51.912441,4465313805,2083,kindergarten,Bimbola
92500.4962811566,436433.739655047,0,127,4.4788347,51.9128826,4465314006,2083,kindergarten,Het Steigertje
92065.2039193755,436807.862255123,0,128,4.4724405,51.9161959,4465315733,2121,dentist,I dental
92336.495575334,436321.709239458,0,129,4.4764718,51.9118573,4465317092,2083,kindergarten,Rolykids
91463.809724407,438563.156350654,0,130,4.463376,51.9319029,410592100,2501,supermarket,PLUS supermarkt
94638.907932941,437746.536085951,0,131,4.5096805,51.9249173,4165745532,2501,supermarket,Aldi
90327.4689568644,437290.286185103,0,132,4.4470949,51.9203323,4167435072,2501,supermarket,Sosan Supermarkt
92034.6823139564,436952.227059492,0,133,4.4719705,51.9174899,4474612506,2083,kindergarten,Baboeloes
89617.8001726038,436258.285841064,0,134,4.4369763,51.9109745,2662843852,2082,school,Shri Saraswatie School
90744.7954785152,436833.400838922,0,135,4.4532459,51.9162745,2667644697,2082,school,Eben-Ha?zerschool
